"rect" "month" "sob" "year"
"1" "38G7" 1 4.14668845628917 2018
"2" "39G7" 1 5.95174610040806 2018
"3" "40G7" 1 4.98104584437829 2018
"4" "41G7" 1 5.04309182122902 2018
"5" "42G7" 1 5.35343404699255 2018
"6" "43G7" 1 5.27969861693487 2018
"7" "44G7" 1 5.62229303033264 2018
"8" "45G7" 1 5.31781619958462 2018
"9" "46G7" 1 5.03313420878516 2018
"10" "37G8" 1 5.7865211735601 2018
"11" "38G8" 1 5.12739385873784 2018
"12" "39G8" 1 5.97156739234924 2018
"13" "40G8" 1 5.80561786139453 2018
"14" "41G8" 1 5.6039805955357 2018
"15" "42G8" 1 5.20416697289805 2018
"16" "43G8" 1 4.31547273620714 2018
"17" "44G8" 1 5.17589342420541 2018
"18" "45G8" 1 5.73929514046069 2018
"19" "46G8" 1 6.02339488930172 2018
"20" "37G9" 1 4.25825389940962 2018
"21" "38G9" 1 5.95263484829399 2018
"22" "39G9" 1 6.5751997978599 2018
"23" "40G9" 1 6.61811610681039 2018
"24" "41G9" 1 6.3199351200351 2018
"25" "42G9" 1 6.74850422894513 2018
"26" "43G9" 1 6.50441935548076 2018
"27" "44G9" 1 5.68855268669036 2018
"28" "45G9" 1 5.9861635379004 2018
"29" "46G9" 1 5.92103340890672 2018
"30" "38H0" 1 2.00248085831602 2018
"31" "39H0" 1 5.24172680232047 2018
"32" "40H0" 1 6.06112506014329 2018
"33" "41H0" 1 5.00803935728528 2018
"34" "42H0" 1 5.60893368279492 2018
"35" "43H0" 1 6.1791129037186 2018
"36" "44H0" 1 6.38322228369889 2018
"37" "45H0" 1 6.07181616094377 2018
"38" "46H0" 1 6.02384604348077 2018
"39" "38H1" 1 0.688776317362984 2018
"40" "39H1" 1 1.17258338242018 2018
"41" "40H1" 1 2.89199440220128 2018
"42" "41H1" 1 2.26428589820862 2018
"43" "42H1" 1 2.81753908225468 2018
"44" "43H1" 1 4.02555727628198 2018
"45" "44H1" 1 4.52637549679855 2018
"46" "45H1" 1 4.40332137270607 2018
"47" "46H1" 1 5.02055956016887 2018
"48" "43H2" 1 2.4584443512417 2018
"49" "44H2" 1 2.67339184580736 2018
"50" "45H2" 1 1.54540872368692 2018
"51" "46H2" 1 2.6028229445219 2018
"52" "42H3" 1 3.20660232242785 2018
"53" "43H3" 1 3.53170009794946 2018
"54" "44H3" 1 3.19267816725274 2018
"55" "45H3" 1 2.00658301462837 2018
"56" "46H3" 1 0.787868539492289 2018
"57" "43H4" 1 3.17400220825665 2018
"58" "44H4" 1 2.52529337828232 2018
"59" "45H4" 1 0.762257409909359 2018
"60" "38G7" 2 3.14715776115257 2018
"61" "39G7" 2 5.85262783655414 2018
"62" "40G7" 2 4.60621813513615 2018
"63" "41G7" 2 4.51837662325965 2018
"64" "42G7" 2 5.12577909451944 2018
"65" "43G7" 2 4.59086236943449 2018
"66" "44G7" 2 5.32969361565731 2018
"67" "45G7" 2 4.60732635852913 2018
"68" "46G7" 2 3.7755410472552 2018
"69" "37G8" 2 4.1000169629636 2018
"70" "38G8" 2 4.46528780198836 2018
"71" "39G8" 2 6.36335622160523 2018
"72" "40G8" 2 6.032925996957 2018
"73" "41G8" 2 5.23218787908554 2018
"74" "42G8" 2 4.39266102751814 2018
"75" "43G8" 2 3.09696663746666 2018
"76" "44G8" 2 4.81151530402185 2018
"77" "45G8" 2 5.73604953156577 2018
"78" "46G8" 2 6.02754717402988 2018
"79" "37G9" 2 2.9993987452748 2018
"80" "38G9" 2 5.16398123911504 2018
"81" "39G9" 2 6.11297911758776 2018
"82" "40G9" 2 6.0708289914661 2018
"83" "41G9" 2 6.09125737216738 2018
"84" "42G9" 2 6.68735670734335 2018
"85" "43G9" 2 6.2321486334006 2018
"86" "44G9" 2 5.11785978642504 2018
"87" "45G9" 2 5.70958783657868 2018
"88" "46G9" 2 5.59390540917714 2018
"89" "38H0" 2 1.28737918694969 2018
"90" "39H0" 2 4.07791152638726 2018
"91" "40H0" 2 5.26478562995239 2018
"92" "41H0" 2 3.85753593512291 2018
"93" "42H0" 2 4.86704028535772 2018
"94" "43H0" 2 5.69483582531964 2018
"95" "44H0" 2 5.91208242244191 2018
"96" "45H0" 2 5.81443064610163 2018
"97" "46H0" 2 5.87358052200741 2018
"98" "38H1" 2 0.273972303451349 2018
"99" "39H1" 2 0.420025485888624 2018
"100" "40H1" 2 1.97266931770288 2018
"101" "41H1" 2 1.44794448912144 2018
"102" "42H1" 2 1.68253216346105 2018
"103" "43H1" 2 2.79086493510421 2018
"104" "44H1" 2 3.29708647908542 2018
"105" "45H1" 2 3.4937834564304 2018
"106" "46H1" 2 4.70432728890217 2018
"107" "43H2" 2 0.908230753881591 2018
"108" "44H2" 2 1.14745132155698 2018
"109" "45H2" 2 0.22673547079581 2018
"110" "46H2" 2 1.96684962534346 2018
"111" "42H3" 2 1.49329370887656 2018
"112" "43H3" 2 2.13380119331921 2018
"113" "44H3" 2 1.76175529061086 2018
"114" "45H3" 2 0.715310052952021 2018
"115" "46H3" 2 -0.125007688430034 2018
"116" "43H4" 2 1.8716336157941 2018
